Agent IP,Attacker IP,Victim IP Details,Subcategory,Remark
10.141.49.44,10.137.216.17,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.10,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.34,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.10,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.34,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.28,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.32,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.28,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.35,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.36,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.22,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.36,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.40,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.39,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.39,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
10.141.49.44,10.137.216.34,New Agent,P2P Torrent Traffic 5 attack detected but not blocked,ABCD
